Dags,Konnun,Flokkur,Fylgi
30.06.2007,Capacent,Samfylkingin,"28,5"
31.07.2007,Capacent,Samfylkingin,"27,5"
31.08.2007,Capacent,Samfylkingin,"28,8"
30.09.2007,Capacent,Samfylkingin,"27,2"
31.10.2007,Capacent,Samfylkingin,"27,9"
30.11.2007,Capacent,Samfylkingin,"31,2"
31.12.2007,Capacent,Samfylkingin,"30,3"
31.01.2008,Capacent,Samfylkingin,31
29.02.2008,Capacent,Samfylkingin,"34,7"
31.03.2008,Capacent,Samfylkingin,"32,5"
30.04.2008,Capacent,Samfylkingin,"25,8"
31.05.2008,Capacent,Samfylkingin,"30,6"
30.06.2008,Capacent,Samfylkingin,"29,8"
31.07.2008,Capacent,Samfylkingin,"29,4"
31.08.2008,Capacent,Samfylkingin,"33,4"
30.09.2008,Capacent,Samfylkingin,"32,5"
31.10.2008,Capacent,Samfylkingin,"31,3"
30.11.2008,Capacent,Samfylkingin,"31,4"
31.12.2008,Capacent,Samfylkingin,"28,1"
31.01.2009,Capacent,Samfylkingin,"21,7"
28.02.2009,Capacent,Samfylkingin,"29,1"
31.03.2009,Capacent,Samfylkingin,"29,3"
30.04.2009,Capacent,Samfylkingin,"31,9"
31.05.2009,Capacent,Samfylkingin,"28,4"
30.06.2009,Capacent,Samfylkingin,"24,8"
31.07.2009,Capacent,Samfylkingin,"25,1"
31.08.2009,Capacent,Samfylkingin,"27,2"
30.09.2009,Capacent,Samfylkingin,"26,5"
31.10.2009,Capacent,Samfylkingin,"25,3"
30.11.2009,Capacent,Samfylkingin,"26,4"
31.12.2009,Capacent,Samfylkingin,"24,1"
31.01.2010,Capacent,Samfylkingin,25
28.02.2010,Capacent,Samfylkingin,23
31.03.2010,Capacent,Samfylkingin,"23,7"
30.04.2010,Capacent,Samfylkingin,"22,4"
31.05.2010,Capacent,Samfylkingin,"22,1"
30.06.2010,Capacent,Samfylkingin,"22,9"
31.07.2010,Capacent,Samfylkingin,"24,1"
31.08.2010,Capacent,Samfylkingin,"24,6"
30.09.2010,Capacent,Samfylkingin,"23,1"
31.10.2010,Capacent,Samfylkingin,"17,5"
30.11.2010,Capacent,Samfylkingin,"21,6"
31.12.2010,Capacent,Samfylkingin,"23,6"
31.01.2011,Capacent,Samfylkingin,"22,1"
28.02.2011,Capacent,Samfylkingin,"23,2"
31.03.2011,Capacent,Samfylkingin,"22,4"
30.04.2011,Capacent,Samfylkingin,"21,3"
31.05.2011,Capacent,Samfylkingin,"22,8"
30.06.2011,Capacent,Samfylkingin,"21,5"
31.07.2011,Capacent,Samfylkingin,"22,6"
31.08.2011,Capacent,Samfylkingin,"21,9"
30.09.2011,Capacent,Samfylkingin,"21,7"
31.10.2011,Capacent,Samfylkingin,"21,3"
30.11.2011,Capacent,Samfylkingin,"21,8"
31.12.2011,Capacent,Samfylkingin,21
31.01.2012,Capacent,Samfylkingin,"21,8"
29.02.2012,Capacent,Samfylkingin,"18,7"
31.03.2012,Capacent,Samfylkingin,"17,5"
30.04.2012,Capacent,Samfylkingin,"18,7"
31.05.2012,Capacent,Samfylkingin,"17,7"
30.06.2012,Capacent,Samfylkingin,"18,8"
31.07.2012,Capacent,Samfylkingin,21
31.08.2012,Capacent,Samfylkingin,"20,7"
30.09.2012,Capacent,Samfylkingin,"19,4"
